11,Bears,1,CloudFuel,5,3,9,10,RoboticPlayer,6,2,10,15,Flames,4,coversum,12,7,6,33,Eazuu,10,5,5,16
11,Express,1,Flyin_Dutch_Oven,6,0,10,13,Sobes,1,5,6,13,Foxes,4,AptFox,10,1,6,21,TRAINS,7,3,8,14
2,Blizzard,1,Booq.,6,1,5,23,Jackal,6,3,8,23,Lightning,4,Aerialist,8,4,13,22,MtnDrewski,6,4,13,15
2,Outlaws,1,Endless,4,6,5,11,zFLaMEx2,10,3,11,27,Pirates,4,HK_BadBoy,10,3,12,20,TourneyEarnie,7,0,9,19
2,Jets,3,Gon,6,7,7,13,Riyo,8,3,4,24,Knights,2,Zinc,8,2,8,19,BuffaloDave,5,4,6,9
2,Bears,3,Brokarian,10,3,7,28,RoboticPlayer,9,4,9,19,Rhinos,2,IMichael,12,1,11,26,Meddler,5,4,14,16
2,Express,2,Flyin_Dutch_Oven,6,3,10,13,Hardcoregames15,7,1,11,23,Spartans,3,B++,8,5,10,22,PoorlyBuiltTaco,6,3,7,15
2,Pandas,4,LaKodiak,7,4,4,13,The Postman,11,3,13,19,Shadow,1,Goose,6,1,4,16,Jordak,3,5,4,18
2,Aviators,0,Ayden,7,0,4,18,Frodoswaggins,3,3,7,16,Hive,5,Black,12,5,8,25,superflame,9,4,6,12
2,Demolition,2,Deejay,7,2,2,15,SCarton,5,5,6,15,Spectre,3,Gidderrs,10,4,5,16,Kenny,9,4,7,16
2,Foxes,3,tyler-,16,6,10,29,Zeus,7,9,2,21,Wolves,2,Foof,8,5,7,17,stevo,8,5,12,17
3,Bulls,5,Firehoops,14,2,8,25,rsayers,4,3,6,10,Dodgers,0,bitpost,5,1,2,12,OwnerOfTheWhiteSedan,3,2,10,15
3,Hawks,2,Mr T,7,6,11,16,The RL Reaction,10,3,3,23,Hive,3,DLEW19,10,3,8,19,steven the hobo,8,3,9,21
3,Pirates,2,TopHatHero,5,2,9,14,TourneyEarnie,3,3,8,12,Rhinos,3,DDia,12,4,7,30,IMichael,6,7,6,19
3,Elite,2,NotHenry,9,2,10,12,Rebel,6,4,11,13,Tyrants,3,Alton,13,4,5,30,Gogurt,7,4,3,21
12,Eclipse,1,BeyondTeddie,6,5,11,16,Robber00,7,5,3,19,Hawks,4,Drummer_Boy_904,7,3,3,13,Havoc,11,2,11,21
12,Jets,4,AspEctZ,4,3,2,11,Riyo,12,3,4,24,Sabres,1,Boby Shew,5,1,7,9,SammyNieds18,6,1,7,17
3,Flames,3,Eazuu,7,5,6,19,Vague,12,5,7,22,Pandas,2,kakutani,6,2,8,8,The Postman,6,1,7,18
3,Hurricanes,4,Hershey,9,4,4,14,Soop Feared,12,4,10,25,Lightning,1,Aerialist,10,0,7,21,Icy_fatal99,2,4,5,12
3,Shadow,3,Jordak,8,0,7,15,Legit,9,2,12,16,Sharks,2,Climax,8,5,5,21,DaShnozz,8,1,7,25
3,Bears,0,GlycineBase,5,3,17,16,RoboticPlayer,3,2,6,9,Outlaws,5,Endless,10,3,7,24,ITSLAPPY,10,7,8,26
12,Foxes,2,TRAINS,6,2,3,14,tyler-,7,1,9,15,Spartans,3,B++,6,2,9,15,MonsterJamers,5,3,3,14
3,Comets,5,Matty-Ice2110,19,6,7,38,RWB,8,9,6,21,Demolition,0,KnightFire,5,1,14,16,Reckless,6,3,9,11
12,Pirates,2,garcia_reid,10,4,7,19,HK_BadBoy,8,3,7,14,Sharks,3,DaShnozz,11,4,11,26,Peyton,5,5,3,15
12,Comets,1,xHDx Crack3r,6,1,7,17,Xtarasenko91x,3,2,7,14,Tyrants,4,BurnWanSahn,7,3,7,16,GameStrike208,10,3,7,17
3,Spectre,3,Americas F1nest,6,4,5,16,Gidderrs,12,4,8,24,Wizards,2,Krihg,8,1,6,14,Mario_RL,3,5,9,14
3,Foxes,0,AptFox,7,1,7,16,Zeus,2,4,4,11,Puffins,5,AubreyE,10,11,5,22,B1,16,6,8,30
12,Dodgers,3,ClayHD_,8,3,15,20,Klismo,8,3,10,19,Spectre,2,Kenny,10,3,12,26,MCas86,4,5,8,22
3,Blizzard,4,Booq.,9,3,10,17,helly.,8,2,7,15,Eclipse,1,Carl,4,0,1,16,Pander,6,1,6,22
3,Aviators,2,Frodoswaggins,3,3,11,10,jgabbert13,6,1,8,16,Ducks,3,FlyinHi,4,6,5,19,MeadowMaker,6,1,10,16
3,Knights,3,Salvation,8,1,8,17,Zinc,8,2,10,14,Spartans,2,Avo,9,3,5,28,PoorlyBuiltTaco,4,6,4,15
3,Express,2,Adrenaline,4,2,1,12,Hardcoregames15,9,2,3,20,Jets,3,Gon,4,4,6,6,Primetime,13,1,8,16
12,Elite,3,Frawd,8,2,5,17,Gristly.,8,4,8,22,Wizards,2,LilRock,8,3,10,18,Mario_RL,6,2,5,12
3,Sabres,1,Darkfire,5,4,9,10,The Big C,4,1,16,21,Wolves,4,DonkeyKong,10,5,5,24,MouseRat,7,2,9,27
12,Hive,2,steven the hobo,5,2,4,9,superflame,12,3,6,26,Hurricanes,3,Finicko,9,5,5,19,Krosis,9,5,8,16
12,Knights,2,BuffaloDave,9,2,9,22,Kilowen,3,6,5,15,Wolves,3,Foof,10,4,8,17,Texas21Ace,6,4,9,17
12,Aviators,2,jgabbert13,7,2,6,14,Ray Finkle,9,4,9,17,Lightning,3,DC9708,8,5,6,24,Icy_fatal99,7,1,4,15
12,Blizzard,3,Imagine,10,8,6,22,Mr.BigMackDaddy,12,1,8,19,Ducks,2,MeadowMaker,5,5,7,14,therealmobagz,9,3,3,20
12,Express,3,Adrenaline,5,3,10,13,Sobes,8,4,6,16,Puffins,2,Bachem,6,3,9,17,ElCuchinero Cuh,8,3,4,19
12,Outlaws,3,Endless,13,3,9,23,PAV3K,7,8,5,24,Shadow,2,Driu,8,6,9,23,Goose,9,3,13,15
12,Bears,5,CloudFuel,8,5,4,18,RoboticPlayer,13,0,6,18,Pandas,0,kakutani,3,3,6,17,LaKodiak,5,2,7,13
12,Flames,1,Eazuu,5,0,9,15,Vague,4,0,8,13,Rhinos,4,DDia,9,5,10,21,Meddler,9,2,5,25
12,Bulls,4,Firehoops,6,3,8,23,UnlimitedDucks,8,4,10,15,Demolition,1,Deejay,4,0,11,18,KnightFire,2,3,8,11
