1,Shadow,3,Faker,7,2,6,21,ShuaIRL,5,2,16,9,Sharks,2,Hyper,2,4,3,15,Pupper,9,1,9,20
1,Comets,2,Killerbaird2,7,2,9,18,RWB,6,4,1,19,Demolition,3,kenbennedy,4,3,2,8,Schult,12,4,16,17
1,Knights,0,Cammm,6,2,6,16,mceaton,6,2,7,13,Spartans,5,Burrie,11,6,5,22,Insanerossi13,9,5,8,15
1,Hawks,2,TheBigMacDan,6,3,3,12,Tempeszt,5,2,7,16,Hive,3,Hextasy,5,1,5,10,rsayers,5,4,6,12
1,Foxes,1,DIDDYxKONG,3,4,7,10,m0dangles,9,1,2,15,Puffins,4,AubreyE,9,6,7,20,Tuxedo Marx,10,7,5,20
1,Sabres,3,HK_BadBoy,9,3,5,17,Sobes,4,4,7,14,Wolves,2,OldManBallin26,8,5,6,16,Texas21Ace,6,3,7,16
1,Hurricanes,2,DocPep,8,3,8,13,FlemingVincent,6,5,4,8,Lightning,3,BD Yurek,10,7,5,22,Flyin_Dutch_Oven,9,5,2,17
1,Flames,3,Endless,7,5,5,22,mdsooter,8,3,4,12,Pandas,2,Richyy,4,2,5,7,Tevn,9,4,4,18
1,Elite,4,NotHenry,13,4,6,27,rudy,14,7,3,25,Tyrants,1,Kamii2k,5,3,7,16,Shadow,8,4,11,11
1,Express,5,C0P3x,17,2,7,24,CommanderSushi1,8,7,9,16,Jets,0,Devastator_G1,4,3,3,17,Long John Candy,5,3,9,16
1,Blizzard,2,Adi,13,8,5,25,helly.,8,8,5,18,Eclipse,3,Robber00,11,5,9,16,BeyondTeddie,7,3,5,13
1,Bulls,2,OwnerOfTheWhiteSedan,6,7,6,15,TallestDan,8,3,3,15,Dodgers,3,Klismo,4,7,4,12,musclemagic,12,3,6,19
1,Aviators,1,Achilles,6,7,7,16,Pr0phete,8,3,6,19,Ducks,4,Daddy J,6,5,5,9,Winnie the Pooh,15,4,8,29
1,Pirates,2,The Postman,2,0,5,11,quinestupapa,7,1,11,18,Rhinos,3,Meddler,7,1,9,14,Zeakz,3,4,5,19
1,Bears,3,Brokarian,7,3,6,16,RetroDevil,8,4,6,21,Outlaws,2,Hershey,5,6,3,13,Mr T,8,4,13,17
1,Spectre,3,B1,6,5,4,13,Khacs,8,2,7,29,Wizards,2,DomRM14,4,2,10,10,TheHamburglar,10,0,7,19
2,Aviators,1,FlipBaker,7,2,5,19,Frodoswaggins,7,4,2,20,Hawks,4,Sandpaper,7,6,8,13,Staas,13,5,7,22
2,Wizards,3,Krihg,9,2,7,12,LilRock,6,4,14,10,Demolition,2,Goose,6,5,2,16,Schult,9,5,5,24
2,Sharks,4,Faux Paw,11,4,7,18,ITSLAPPY,6,5,9,20,Pandas,1,DonkeyKong,2,6,6,17,Tevn,11,1,6,15
2,Foxes,0,callmeSavag3,4,1,4,9,m0dangles,8,0,4,27,Sabres,5,JustStopBrah,14,2,12,25,TourneyEarnie,8,8,8,20
2,Lightning,2,BD Yurek,8,2,5,15,Cakekyst,5,5,7,19,Eclipse,3,Rush,11,2,5,19,BeyondTeddie,6,3,11,10
2,Rhinos,0,Bookopoulus,4,2,3,12,Meddler,4,3,14,14,Outlaws,5,SammyNieds18,8,2,7,19,Zybax,8,5,4,21
2,Spartans,2,Deli,8,0,3,21,Insanerossi13,1,1,8,8,Jets,3,Devastator_G1,4,5,6,14,Riyo,9,1,7,21
2,Hive,2,DLEW19,8,2,10,16,Dread,4,3,10,11,Ducks,3,FlyinHi,6,1,6,20,MeadowMaker,3,4,5,11
2,Express,5,C0P3x,19,3,6,31,Hardcoregames15,10,8,3,18,Knights,0,mceaton,6,3,7,10,Nickisared,7,4,6,14
2,Tyrants,2,Kamii2k,9,2,3,16,MtnDrewski,7,3,6,21,Dodgers,3,DDia,8,3,6,17,Klismo,8,1,6,12
2,Bears,5,Obfu,15,5,5,26,RetroDevil,9,8,3,24,Pirates,0,The Postman,8,2,14,13,trg30809,5,3,6,9
2,Bulls,2,TallestDan,7,1,9,13,Troubadour,5,4,7,14,Elite,3,Billy,9,3,6,16,DillDill,7,4,7,22
2,Comets,1,Mark,6,5,8,12,bitpost,6,4,5,12,Spectre,4,B1,7,5,8,18,Khacs,13,3,1,30
2,Flames,4,coversum,15,3,3,32,mdsooter,6,7,4,17,Shadow,1,Carl,5,3,13,11,ShuaIRL,6,5,10,10
2,Blizzard,2,Salvation,4,3,8,14,Captain Marlin,4,2,12,10,Hurricanes,3,TheMagnelephant,8,8,4,22,ZAdams,9,2,7,19
2,Wolves,4,Foof,5,4,5,10,stevo,8,2,7,20,Puffins,1,AubreyE,4,3,9,14,MouseRat,5,1,4,15
3,Eclipse,0,Robber00,1,7,7,14,BeyondTeddie,9,1,6,17,Hurricanes,5,DocPep,11,6,6,16,TheMagnelephant,10,5,6,21
3,Sharks,2,Faux Paw,7,4,5,22,Pupper,8,3,7,21,Flames,3,bippers,9,3,7,13,coversum,9,5,12,20
3,Wolves,5,stevo,18,4,6,30,Texas21Ace,9,4,4,27,Foxes,0,DC9708,7,4,15,16,DIDDYxKONG,9,4,7,11
3,Ducks,3,Daddy J,11,2,6,17,FlyinHi,5,5,4,16,Hawks,2,TheBigMacDan,8,4,7,17,Tempeszt,6,8,5,13
3,Hive,5,DLEW19,14,6,13,15,rsayers,9,6,7,18,Aviators,0,Frodoswaggins,10,3,10,26,jgabbert13,5,5,4,12
3,Jets,4,Mopli,11,7,3,24,Riyo,10,5,8,23,Knights,1,Cammm,1,3,13,11,Nickisared,10,0,6,15
4,Comets,3,Mark,5,1,4,17,RWB,4,5,6,9,Outlaws,2,Hershey,4,1,4,12,SammyNieds18,3,2,8,14
3,Pandas,2,Richyy,7,3,1,16,Tascam,6,2,2,15,Shadow,3,Carl,15,1,8,17,ShuaIRL,2,3,3,5
4,Hurricanes,3,TheMagnelephant,8,1,4,18,ZAdams,7,3,4,15,Wolves,2,Foof,9,2,8,14,OldManBallin26,5,6,7,15
4,Aviators,2,Achilles,4,6,6,12,jgabbert13,8,0,2,13,Jets,3,Devastator_G1,7,4,5,14,Long John Candy,6,4,4,13
3,Lightning,1,Salvation,3,2,11,9,xHDx Crack3r,5,2,15,8,Blizzard,4,helly.,5,2,2,22,LowkeyArrubla,9,2,3,25
4,Pirates,0,Miller_Ball_22,5,2,4,18,trg30809,4,1,5,12,Wizards,5,DomRM14,9,2,7,18,LilRock,8,2,7,14
4,Blizzard,3,Adi,12,5,7,27,helly.,10,6,7,20,Puffins,2,AubreyE,5,3,10,14,Tuxedo Marx,5,2,9,13
3,Dodgers,1,BDG Explosion,6,2,3,14,Clemons9,5,1,5,11,Elite,4,DillDill,14,2,6,20,NotHenry,5,5,4,13
3,Rhinos,1,Meddler,3,4,5,17,IMichael,7,1,8,27,Bears,4,Brokarian,6,1,8,16,Obfu,8,2,16,16
3,Outlaws,2,Mr T,8,4,5,16,Zybax,6,5,8,16,Pirates,3,Miller_Ball_22,6,2,7,14,quinestupapa,4,2,8,13
3,Tyrants,3,Shadow,13,3,8,26,doom,5,7,4,16,Bulls,2,OwnerOfTheWhiteSedan,6,0,7,14,Troubadour,5,1,9,13
4,Foxes,4,DC9708,16,5,9,28,m0dangles,11,9,8,19,Eclipse,1,Robber00,9,2,9,20,Rush,5,2,1,17
4,Express,4,Hardcoregames15,5,2,3,14,James,9,3,7,19,Ducks,1,MeadowMaker,9,2,6,14,Winnie the Pooh,7,2,9,19
4,Knights,0,mceaton,4,3,9,7,mtdiedrich,6,2,8,16,Hive,5,Dread,10,10,6,24,Hextasy,12,3,5,20
4,Flames,4,bippers,4,3,8,12,Endless,10,3,8,18,Dodgers,1,Clemons9,1,6,3,15,DDia,9,1,5,18
3,Spartans,2,Deli,4,4,5,14,Insanerossi13,10,1,5,19,Express,3,Hardcoregames15,8,3,4,17,Gogurt,9,3,4,17
3,Demolition,0,Goose,5,0,12,11,kenbennedy,1,3,6,7,Spectre,5,B1,5,7,4,21,Drummer_Boy_904,15,2,4,24
3,Wizards,2,Krihg,2,4,9,17,TheHamburglar,8,0,6,17,Comets,3,RWB,7,3,7,19,ScruffyLobo,6,1,8,13
3,Puffins,2,MouseRat,6,2,7,16,Tuxedo Marx,4,5,5,17,Sabres,3,HK_BadBoy,5,2,5,16,JustStopBrah,5,2,3,12
4,Bulls,2,JaxTrade,5,2,4,18,OwnerOfTheWhiteSedan,4,1,6,13,Pandas,3,DonkeyKong,9,1,9,16,Richyy,4,2,12,9
